utbildningsnivå,kön,ålder,year,inkomst_tkr
förgymnasial utbildning,män,20-29 år,2000,123.3
förgymnasial utbildning,män,30-39 år,2000,184.9
förgymnasial utbildning,män,40-49 år,2000,207.0
förgymnasial utbildning,män,50-59 år,2000,214.0
förgymnasial utbildning,män,60-64 år,2000,196.5
förgymnasial utbildning,kvinnor,20-29 år,2000,88.0
förgymnasial utbildning,kvinnor,30-39 år,2000,128.8
förgymnasial utbildning,kvinnor,40-49 år,2000,151.1
förgymnasial utbildning,kvinnor,50-59 år,2000,158.0
förgymnasial utbildning,kvinnor,60-64 år,2000,137.4
gymnasial utbildning,män,20-29 år,2000,164.3
gymnasial utbildning,män,30-39 år,2000,226.0
gymnasial utbildning,män,40-49 år,2000,235.4
gymnasial utbildning,män,50-59 år,2000,253.3
gymnasial utbildning,män,60-64 år,2000,240.1
gymnasial utbildning,kvinnor,20-29 år,2000,124.3
gymnasial utbildning,kvinnor,30-39 år,2000,164.6
gymnasial utbildning,kvinnor,40-49 år,2000,177.9
gymnasial utbildning,kvinnor,50-59 år,2000,181.0
gymnasial utbildning,kvinnor,60-64 år,2000,160.9
eftergymnasial utbildning,män,20-29 år,2000,145.8
eftergymnasial utbildning,män,30-39 år,2000,312.2
eftergymnasial utbildning,män,40-49 år,2000,365.9
eftergymnasial utbildning,män,50-59 år,2000,375.4
eftergymnasial utbildning,män,60-64 år,2000,346.9
eftergymnasial utbildning,kvinnor,20-29 år,2000,115.4
eftergymnasial utbildning,kvinnor,30-39 år,2000,195.8
eftergymnasial utbildning,kvinnor,40-49 år,2000,230.9
eftergymnasial utbildning,kvinnor,50-59 år,2000,251.3
eftergymnasial utbildning,kvinnor,60-64 år,2000,226.8
förgymnasial utbildning,män,20-29 år,2001,130.7
förgymnasial utbildning,män,30-39 år,2001,191.6
förgymnasial utbildning,män,40-49 år,2001,214.4
förgymnasial utbildning,män,50-59 år,2001,220.9
förgymnasial utbildning,män,60-64 år,2001,204.4
förgymnasial utbildning,kvinnor,20-29 år,2001,93.5
förgymnasial utbildning,kvinnor,30-39 år,2001,134.0
förgymnasial utbildning,kvinnor,40-49 år,2001,156.5
förgymnasial utbildning,kvinnor,50-59 år,2001,163.3
förgymnasial utbildning,kvinnor,60-64 år,2001,143.7
gymnasial utbildning,män,20-29 år,2001,171.5
gymnasial utbildning,män,30-39 år,2001,236.9
gymnasial utbildning,män,40-49 år,2001,245.0
gymnasial utbildning,män,50-59 år,2001,261.2
gymnasial utbildning,män,60-64 år,2001,248.0
gymnasial utbildning,kvinnor,20-29 år,2001,129.3
gymnasial utbildning,kvinnor,30-39 år,2001,172.5
gymnasial utbildning,kvinnor,40-49 år,2001,185.6
gymnasial utbildning,kvinnor,50-59 år,2001,187.9
gymnasial utbildning,kvinnor,60-64 år,2001,167.6
eftergymnasial utbildning,män,20-29 år,2001,152.1
eftergymnasial utbildning,män,30-39 år,2001,327.6
eftergymnasial utbildning,män,40-49 år,2001,384.9
eftergymnasial utbildning,män,50-59 år,2001,386.9
eftergymnasial utbildning,män,60-64 år,2001,362.6
eftergymnasial utbildning,kvinnor,20-29 år,2001,122.4
eftergymnasial utbildning,kvinnor,30-39 år,2001,206.6
eftergymnasial utbildning,kvinnor,40-49 år,2001,244.5
eftergymnasial utbildning,kvinnor,50-59 år,2001,264.5
eftergymnasial utbildning,kvinnor,60-64 år,2001,239.3
förgymnasial utbildning,män,20-29 år,2002,129.6
förgymnasial utbildning,män,30-39 år,2002,196.2
förgymnasial utbildning,män,40-49 år,2002,221.1
förgymnasial utbildning,män,50-59 år,2002,227.5
förgymnasial utbildning,män,60-64 år,2002,214.9
förgymnasial utbildning,kvinnor,20-29 år,2002,96.0
förgymnasial utbildning,kvinnor,30-39 år,2002,137.8
förgymnasial utbildning,kvinnor,40-49 år,2002,161.6
förgymnasial utbildning,kvinnor,50-59 år,2002,168.8
förgymnasial utbildning,kvinnor,60-64 år,2002,152.1
gymnasial utbildning,män,20-29 år,2002,173.4
gymnasial utbildning,män,30-39 år,2002,244.2
gymnasial utbildning,män,40-49 år,2002,253.1
gymnasial utbildning,män,50-59 år,2002,267.2
gymnasial utbildning,män,60-64 år,2002,258.5
