utbildningsnivå,kön,ålder,year,inkomst_tkr,typ
förgymnasial utbildning,kvinnor,20-29 år,2010,88.8,lägst
eftergymnasial utbildning,män,50-59 år,2010,480.2,högst
förgymnasial utbildning,kvinnor,20-29 år,2011,90.2,lägst
eftergymnasial utbildning,män,50-59 år,2011,496.8,högst
förgymnasial utbildning,kvinnor,20-29 år,2012,92.2,lägst
eftergymnasial utbildning,män,50-59 år,2012,511.7,högst
förgymnasial utbildning,kvinnor,20-29 år,2013,95.3,lägst
eftergymnasial utbildning,män,50-59 år,2013,522.1,högst
förgymnasial utbildning,kvinnor,20-29 år,2014,97.9,lägst
eftergymnasial utbildning,män,50-59 år,2014,535.5,högst
förgymnasial utbildning,kvinnor,20-29 år,2015,104.8,lägst
eftergymnasial utbildning,män,50-59 år,2015,552.3,högst
förgymnasial utbildning,kvinnor,20-29 år,2016,113.2,lägst
eftergymnasial utbildning,män,50-59 år,2016,564.9,högst
förgymnasial utbildning,kvinnor,20-29 år,2017,117.1,lägst
eftergymnasial utbildning,män,50-59 år,2017,578.7,högst
förgymnasial utbildning,kvinnor,20-29 år,2018,120.2,lägst
eftergymnasial utbildning,män,50-59 år,2018,595.2,högst
förgymnasial utbildning,kvinnor,20-29 år,2019,121.7,lägst
eftergymnasial utbildning,män,50-59 år,2019,610.3,högst
förgymnasial utbildning,kvinnor,20-29 år,2020,118.9,lägst
eftergymnasial utbildning,män,50-59 år,2020,621.3,högst
förgymnasial utbildning,kvinnor,20-29 år,2021,125.4,lägst
eftergymnasial utbildning,män,50-59 år,2021,652.4,högst
förgymnasial utbildning,kvinnor,20-29 år,2022,140.3,lägst
eftergymnasial utbildning,män,50-59 år,2022,681.4,högst
förgymnasial utbildning,kvinnor,20-29 år,2023,147.9,lägst
eftergymnasial utbildning,män,50-59 år,2023,706.6,högst
förgymnasial utbildning,kvinnor,20-29 år,2024,151.4,lägst
eftergymnasial utbildning,män,50-59 år,2024,735.7,högst
