"Sammanräknad förvärvsinkomst, medelinkomst för boende i Sverige hela året, tkr efter region, utbildningsnivå, kön, ålder, inkomstklass och år"

"region","utbildningsnivå","kön","ålder","inkomstklass","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"00 Riket","förgymnasial utbildning","män","20-29 år","totalt",127.8,134.6,135.8,137.1,139.8,147.1,154.5,159.4,166.4,167.3,160.0,169.5,189.8,196.3,199.5
"00 Riket","förgymnasial utbildning","män","30-39 år","totalt",216.3,222.8,227.2,228.2,231.8,240.9,249.4,252.5,259.3,263.1,266.1,277.0,292.6,302.2,311.2
"00 Riket","förgymnasial utbildning","män","40-49 år","totalt",255.5,261.9,267.8,269.9,272.6,276.0,280.0,281.4,292.4,300.5,303.3,317.8,333.6,346.0,359.3
"00 Riket","förgymnasial utbildning","män","50-59 år","totalt",271.4,278.9,285.9,289.2,293.9,300.2,306.2,311.0,315.8,319.9,321.0,331.9,346.7,358.6,368.6
"00 Riket","förgymnasial utbildning","män","60-64 år","totalt",267.6,273.0,280.6,285.7,292.0,300.3,306.7,313.0,319.8,324.9,327.1,336.9,346.2,356.4,372.5
"00 Riket","förgymnasial utbildning","kvinnor","20-29 år","totalt",88.8,90.2,92.2,95.3,97.9,104.8,113.2,117.1,120.2,121.7,118.9,125.4,140.3,147.9,151.4
"00 Riket","förgymnasial utbildning","kvinnor","30-39 år","totalt",140.4,140.9,142.4,144.6,146.4,151.5,157.6,160.1,161.0,160.4,163.7,172.4,184.4,196.7,206.9
"00 Riket","förgymnasial utbildning","kvinnor","40-49 år","totalt",177.9,179.7,182.8,183.8,183.9,185.8,189.4,190.0,194.6,198.7,199.5,208.5,218.7,229.9,242.1
"00 Riket","förgymnasial utbildning","kvinnor","50-59 år","totalt",199.5,202.2,206.0,208.6,209.5,211.9,215.1,216.2,218.3,220.2,221.7,228.0,235.9,245.3,254.4
"00 Riket","förgymnasial utbildning","kvinnor","60-64 år","totalt",201.4,204.2,208.2,211.4,213.7,217.6,220.3,222.8,225.7,229.7,230.5,233.9,239.2,246.4,256.1
"00 Riket","gymnasial utbildning","män","20-29 år","totalt",188.8,203.1,210.3,211.9,218.5,232.1,244.9,254.8,264.8,269.6,263.7,275.0,294.1,303.0,307.6
"00 Riket","gymnasial utbildning","män","30-39 år","totalt",299.5,310.4,318.9,322.2,326.8,336.1,345.1,351.5,361.1,368.6,368.2,381.6,400.5,415.2,430.2
"00 Riket","gymnasial utbildning","män","40-49 år","totalt",324.6,338.9,352.1,359.7,369.2,381.7,393.1,403.2,415.1,423.1,425.2,441.8,460.2,474.5,488.0
"00 Riket","gymnasial utbildning","män","50-59 år","totalt",313.1,323.5,334.4,340.5,349.9,362.5,374.8,386.5,400.5,411.8,418.5,438.5,461.3,479.7,498.7
"00 Riket","gymnasial utbildning","män","60-64 år","totalt",312.0,316.8,323.3,328.3,334.7,342.7,350.2,357.8,365.7,374.0,379.9,392.5,410.3,427.7,447.8
"00 Riket","gymnasial utbildning","kvinnor","20-29 år","totalt",139.3,147.2,153.8,158.3,164.7,176.8,187.5,194.4,201.4,205.8,203.6,213.5,227.4,233.5,236.5
"00 Riket","gymnasial utbildning","kvinnor","30-39 år","totalt",214.5,219.9,225.2,228.4,231.7,237.1,245.3,249.0,254.5,259.6,263.2,272.4,288.4,302.7,315.7
"00 Riket","gymnasial utbildning","kvinnor","40-49 år","totalt",251.3,260.3,269.5,276.6,284.4,292.1,301.6,307.9,315.3,321.3,324.4,334.2,346.8,358.3,369.3
"00 Riket","gymnasial utbildning","kvinnor","50-59 år","totalt",248.4,255.4,263.7,271.3,280.3,289.1,299.6,308.5,317.7,326.3,333.3,347.3,362.2,375.6,390.6
"00 Riket","gymnasial utbildning","kvinnor","60-64 år","totalt",237.4,242.9,249.9,257.6,264.8,273.8,280.5,287.7,294.1,301.3,307.5,316.9,328.6,341.2,357.5
"00 Riket","eftergymnasial utbildning","män","20-29 år","totalt",156.6,162.9,168.0,171.2,176.8,185.8,197.1,208.7,222.8,230.5,227.0,236.8,250.0,258.8,259.7
"00 Riket","eftergymnasial utbildning","män","30-39 år","totalt",369.2,379.2,385.4,386.7,391.3,397.6,404.6,410.8,424.0,435.0,442.8,462.3,482.2,504.4,527.7
"00 Riket","eftergymnasial utbildning","män","40-49 år","totalt",477.6,492.9,504.3,511.0,521.6,533.4,543.7,552.5,569.4,577.2,587.0,612.2,628.1,648.3,672.6
"00 Riket","eftergymnasial utbildning","män","50-59 år","totalt",480.2,496.8,511.7,522.1,535.5,552.3,564.9,578.7,595.2,610.3,621.3,652.4,681.4,706.6,735.7
"00 Riket","eftergymnasial utbildning","män","60-64 år","totalt",448.9,459.1,468.7,478.2,489.0,501.8,510.5,521.4,535.3,548.8,561.9,584.8,614.2,639.2,670.3
"00 Riket","eftergymnasial utbildning","kvinnor","20-29 år","totalt",142.1,146.8,152.2,156.4,163.2,173.2,184.6,194.7,204.0,209.8,209.1,218.3,228.8,235.1,235.2
"00 Riket","eftergymnasial utbildning","kvinnor","30-39 år","totalt",262.6,271.9,280.4,286.2,292.6,299.9,309.6,318.6,327.6,334.9,340.5,354.1,370.6,390.8,407.5
"00 Riket","eftergymnasial utbildning","kvinnor","40-49 år","totalt",328.5,340.0,352.7,364.0,375.7,387.8,401.6,414.7,427.3,438.5,447.5,465.7,479.4,496.6,513.3
"00 Riket","eftergymnasial utbildning","kvinnor","50-59 år","totalt",343.0,353.7,366.3,378.1,390.9,405.0,419.6,433.0,446.8,460.6,472.7,492.8,510.5,529.7,551.4
"00 Riket","eftergymnasial utbildning","kvinnor","60-64 år","totalt",327.1,333.3,344.5,355.5,366.5,379.2,390.6,401.0,411.3,421.3,430.1,448.2,462.4,480.4,502.3
